branching_types,n_end,k,uscat,device,dtype,density_dtype,density_device,uscat_dtype,uscat_device
a,10,64.0,(-1.476102954656989-1.8070218160697635j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,10,90.50966799187809,(0.9383612796973035-0.44061033040602504j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,10,128.0,(0.9586612629337861-0.6196881837528071j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,10,181.01933598375618,(-0.8852909688878547+1.109383923583819j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,10,256.0,(-0.2103223426803255+1.7316798676779164j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,10,362.03867196751236,(1.31277599969531+0.8775945817302739j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,10,512.0,(1.2241219340942797-0.2082914856702273j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,10,724.0773439350247,(0.04465836053884879-1.5950632611097524j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,11,1.0,(-1.3559333625769265-0.6578134486541465j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,11,1.4142135623730951,(-0.8771443358250578-2.188000339269097j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,11,2.0,(1.2150327276238277-1.1253401293699454j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,11,2.8284271247461903,(0.9594058753641814-0.17538918917390017j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,11,4.0,(1.298100931971911+0.4860536064976955j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,11,5.656854249492381,(-1.0988779389704681+0.33813577832514596j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,11,8.0,(0.7868674820971471-2.1954050014792816j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,11,11.313708498984761,(-1.4106367374825934+1.2982556187254972j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,11,16.0,(1.0218785205151377+0.1713734135527195j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,11,22.627416997969522,(1.0837727263814476+0.23608589950534803j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,11,32.0,(-1.129428299904844-0.11461526661807764j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,11,45.254833995939045,(-1.5157514851542728-2.235752279177581j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,11,64.0,(-1.5940768390293256-1.9002213558236216j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,11,90.50966799187809,(0.9622320219771883-0.4015058475258554j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,11,128.0,(0.9822094762302785-0.6118694587411004j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,11,181.01933598375618,(-0.8802827470932513+1.0992288226013123j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,11,256.0,(-0.27350128974707544+1.722981916684627j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
