branching_types,n_end,uscat,k,device,dtype,density_dtype,density_device,uscat_dtype,uscat_device
ba,20,(-0.8020706500355326+0.4279099029262447j),5.656854249492381,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,20,(0.234127613538135-1.1952427900548699j),8.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,20,(-0.4950522404776012+1.0601094812669043j),11.313708498984761,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,20,(0.8395656407839489+0.14419100896613146j),16.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,20,(0.7425552955953125+0.6182767091693886j),22.627416997969522,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,21,(-0.741332240839629-0.6696603876783029j),1.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,21,(-0.30763974591319493-1.110861167383096j),1.4142135623730951,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,21,(0.5422183157079936-0.890259210563503j),2.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,21,(0.7749601603704986-0.22878976135778017j),2.8284271247461903,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,21,(0.83370660768996+0.565189995661862j),4.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,21,(-0.8020706500355345+0.4279099029262476j),5.656854249492381,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,21,(0.234127613545003-1.1952427900575446j),8.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,21,(-0.49505237866368257+1.0601095708379624j),11.313708498984761,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,21,(0.8374526999336238+0.14780313675688245j),16.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,21,(1.0950149158868228+0.440221710905068j),22.627416997969522,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,22,(-0.7413322408396259-0.6696603876783013j),1.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,22,(-0.3076397459131922-1.1108611673830926j),1.4142135623730951,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,22,(0.5422183157079918-0.8902592105634977j),2.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
